order_date,order_type,order_id,sku,seller_type,sale_price,total_taxes,fee,total_amount
2024-01-02 00:45:52,Order,408-5005591-1268368,CAM-4003,Seller,15.99,0.0,-3.7,16.28
2024-01-02 00:46:23,Order,404-2552090-3973114,SMT-1004,Seller,14.99,0.0,-3.51,15.47
2024-01-02 00:47:28,Order,171-0041695-0078755,SMT-1001,Seller,15.99,0.0,-3.7,16.28
2024-01-02 00:47:34,Order,406-2992458-2360366,CAM-4006,Seller,15.99,0.0,-3.43,15.06
2024-01-02 00:47:34,Order,406-2992458-2360366,LPC-2003,Seller,17.99,0.0,-3.8,16.68
2024-01-02 00:48:16,Order,171-3894524-3375520,LPC-2002,Seller,31.98,0.0,-5.93,52.1
2024-01-02 00:48:35,Order,406-4116068-6498734,LPC-2002,Seller,14.99,0.0,-3.24,14.25
2024-01-02 00:48:35,Order,406-4116068-6498734,SMT-1005,Seller,14.99,0.0,-3.24,14.24
2024-01-02 00:49:16,Order,408-6649161-8996338,CAM-4006,Seller,15.99,0.0,-2.96,13.03
2024-01-02 00:49:22,Order,405-5498871-3452358,SMT-1004,Seller,16.99,0.0,-3.88,17.1
2024-01-02 00:50:42,Order,405-1445091-3809929,CAM-4004,Seller,14.99,0.0,-3.51,15.47
2024-01-02 00:50:51,Order,171-0397289-3598715,CAM-4006,Seller,15.99,0.0,-3.7,16.28
2024-01-02 00:51:13,Order,407-3448213-5221155,SHW-5005,Seller,17.99,0.0,-4.08,17.9
2024-01-02 00:51:35,Order,407-8216403-7075549,AUD-3006,Seller,15.99,0.0,-3.7,16.28
2024-01-02 00:51:44,Order,408-1526602-8188343,SMT-1003,Seller,18.99,0.0,-4.26,18.72
2024-01-02 20:30:55,Order,404-3284483-8374743,CAM-4001,Seller,14.99,0.0,-3.7,16.28
2024-01-02 20:32:18,Order,408-8471691-1221115,AUD-3002,Seller,15.99,0.0,-3.88,17.1
2024-01-03 02:54:18,Order,408-4239396-2407559,SMT-1002,Seller,14.99,0.0,-3.24,14.24
2024-01-03 02:54:18,Order,408-4239396-2407559,SMT-1001,Seller,14.99,0.0,-3.24,14.25
2024-01-03 02:56:13,Order,406-9481716-1019510,SMT-1003,Seller,13.99,0.0,-2.96,13.03
2024-01-03 02:56:13,Order,406-9481716-1019510,LPC-2001,Seller,13.99,0.0,-2.96,13.03
2024-01-03 02:56:13,Order,406-9481716-1019510,LPC-2002,Seller,13.99,0.0,-2.96,13.02
2024-01-03 02:56:26,Order,171-5261730-4949940,AUD-3005,Seller,15.99,0.0,-3.7,16.28
2024-01-03 03:05:27,Order,403-1471527-7383501,CAM-4002,Seller,14.99,0.0,-3.51,15.47
2024-01-03 03:05:40,Order,403-5456572-9073949,SMT-1001,Seller,16.99,0.0,-3.88,17.1
2024-01-03 03:06:39,Order,405-4944404-5266707,AUD-3006,Seller,16.99,0.0,-3.88,17.1
2024-01-03 03:06:42,Order,405-6169593-0141118,LPC-2001,Seller,15.99,0.0,-3.7,16.28
2024-01-03 03:10:06,Order,405-1592043-3351511,CAM-4005,Seller,17.99,0.0,-4.08,17.9
2024-01-03 03:10:09,Order,402-6703177-0209159,CAM-4003,Seller,15.99,0.0,-3.7,16.28
2024-01-03 03:10:22,Order,408-5687564-1729123,CAM-4005,Seller,13.99,0.0,-3.33,14.65
2024-01-03 03:10:52,Order,407-7508324-9750758,AUD-3006,Seller,14.99,0.0,-3.51,15.47
2024-01-03 14:35:52,,408-5721694-7863561,AUD-3002,Seller,-17.99,0.0,3.26,-18.72
2024-01-03 17:36:26,,405-6802296-2297958,LPC-2002,Seller,-15.99,0.0,2.96,-17.02
2024-01-04 03:05:10,Order,406-6131514-9753943,AUD-3003,Seller,14.99,0.0,-3.51,15.47
2024-01-04 03:05:13,Order,402-7235208-4149118,CAM-4001,Seller,15.99,0.0,-3.7,16.28
2024-01-04 03:16:16,Order,171-9376446-9890763,LPC-2003,Seller,15.99,0.0,-2.96,13.03
2024-01-04 03:18:50,Order,171-0816189-6092336,SHW-5002,Seller,15.99,0.0,-3.7,16.28
2024-01-04 03:19:56,Order,402-2535424-2496354,SHW-5004,Seller,16.99,0.0,-3.16,13.83
2024-01-04 03:20:40,Order,405-6688039-7725163,SMT-1001,Seller,15.99,0.0,-3.7,16.28
2024-01-04 09:09:51,Order,171-6829336-4080350,SHW-5001,Seller,14.99,0.0,-3.7,16.28
2024-01-05 03:31:28,Order,402-2069844-8609925,SHW-5002,Seller,16.99,0.0,-3.88,17.1
2024-01-05 03:32:56,Order,405-6887352-3212335,SMT-1006,Seller,15.99,0.0,-3.7,16.28
2024-01-05 03:33:37,Order,407-8485169-0467553,CAM-4005,Seller,14.99,0.0,-3.51,15.47
2024-01-05 15:14:14,,402-5164184-8680325,AUD-3002,Seller,-14.99,0.0,2.8,-16.18
2024-01-05 16:14:29,,405-2926301-2707554,LPC-2005,Seller,-15.99,0.0,2.96,-17.02
2024-01-07 08:39:51,Order,405-1458081-8315528,LPC-2003,Amazon,19.95,0.0,-9.92,10.03
